id,workclass,fnlwgt,education,occupation,relationship,race,sex,capital-gain,capital-loss,income,age-range,hours-range,nc
4,Private,338409,Bachelors,Prof-specialty,Wife,Black,Female,0,0,<=50K,"(15, 30]","(20, 40]",NCNon-US-Hispanic
11,State-gov,141297,Bachelors,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,>50K,"(15, 30]","(20, 40]",NC-Asian-Pacific
14,Private,121772,Assoc-voc,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,>50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
15,Private,245487,7th-8th,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-Hispanic
38,Private,84154,Some-college,Sales,Husband,White,Male,0,0,>50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
52,Private,51835,Prof-school,Prof-specialty,Wife,White,Female,0,1902,>50K,"(45, 60]","(40, 60]",NC-Asian-Pacific
56,Private,216666,5th-6th,Machine-op-inspct,Husband,White,Male,0,0,<=50K,"(45, 60]","(20, 40]",NC-Hispanic
57,Private,56352,Assoc-voc,Other-service,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NC-Hispanic
81,Private,276515,Bachelors,Other-service,Husband,White,Male,0,0,<=50K,"(45, 60]","(20, 40]",NCNon-US-Hispanic
93,Private,117747,HS-grad,Sales,Wife,Asian-Pac-Islander,Female,0,1573,<=50K,"(15, 30]","(20, 40]",NCNon-US-Hispanic
135,Federal-gov,125933,Masters,Prof-specialty,Husband,White,Male,0,0,>50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
183,Private,286370,7th-8th,Machine-op-inspct,Husband,White,Male,0,0,>50K,"(30, 45]","(20, 40]",NC-Hispanic
217,Private,182609,Bachelors,Sales,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NCNon-US-Hispanic
237,Private,180138,Bachelors,Exec-managerial,Husband,White,Male,0,0,>50K,"(30, 45]","(40, 60]",NCNon-US-Hispanic
245,Private,203580,HS-grad,Adm-clerical,Husband,White,Male,0,0,<=50K,"(45, 60]","(20, 40]",NCNon-US-Hispanic
249,Private,153141,HS-grad,Adm-clerical,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
255,Self-emp-not-inc,303044,HS-grad,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,>50K,"(30, 45]","(20, 40]",NC-Asian-Pacific
265,Self-emp-inc,257295,Some-college,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,>50K,"(30, 45]","(60, 80]",NC-Asian-Pacific
289,Private,193884,7th-8th,Craft-repair,Husband,White,Male,0,0,<=50K,"(45, 60]","(20, 40]",NC-Hispanic
297,?,157443,Masters,?,Wife,Asian-Pac-Islander,Female,3464,0,<=50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
304,Private,303296,Some-college,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,<=50K,"(15, 30]","(20, 40]",NC-Asian-Pacific
311,Private,142897,Masters,Exec-managerial,Husband,Asian-Pac-Islander,Male,7298,0,>50K,"(30, 45]","(20, 40]",NC-Asian-Pacific
359,Self-emp-not-inc,117125,9th,Craft-repair,Husband,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NCNon-US-Hispanic
393,State-gov,98101,Bachelors,Exec-managerial,Husband,White,Male,7688,0,>50K,"(30, 45]","(40, 60]",NCNon-US-Hispanic
404,Private,166481,7th-8th,Handlers-cleaners,Husband,Other,Male,0,2179,<=50K,"(15, 30]","(20, 40]",NC-Hispanic
416,Private,190762,1st-4th,Machine-op-inspct,Husband,White,Male,0,0,<=50K,"(45, 60]","(20, 40]",NC-Hispanic
453,Private,197583,Assoc-acdm,Exec-managerial,Husband,Black,Male,0,0,>50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
480,Private,111746,Assoc-acdm,Craft-repair,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NCNon-US-Hispanic
559,Private,152453,11th,Other-service,Husband,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NC-Hispanic
638,Self-emp-inc,248145,5th-6th,Transport-moving,Husband,White,Male,0,0,<=50K,"(45, 60]","(40, 60]",NCNon-US-Hispanic
652,Private,292472,Doctorate,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,>50K,"(30, 45]","(20, 40]",NC-Asian-Pacific
677,Private,226267,Some-college,Adm-clerical,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NC-Hispanic
681,Private,161141,Assoc-voc,Craft-repair,Husband,White,Male,0,0,>50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
728,Private,223212,HS-grad,Other-service,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NC-Hispanic
729,Self-emp-not-inc,118474,11th,Exec-managerial,Husband,White,Male,9386,0,>50K,"(60, 75]","(40, 60]",NCNon-US-Hispanic
767,Private,151790,Some-college,Sales,Wife,White,Female,0,0,<=50K,"(15, 30]","(20, 40]",NCNon-US-Hispanic
777,Private,73585,Masters,Prof-specialty,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
780,State-gov,146908,Some-college,Craft-repair,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
799,Private,274363,Bachelors,Exec-managerial,Husband,White,Male,0,1902,>50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
815,Self-emp-not-inc,93208,HS-grad,Other-service,Wife,White,Female,0,0,<=50K,"(45, 60]","(60, 80]",NCNon-US-Hispanic
861,Private,191547,HS-grad,Farming-fishing,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NC-Hispanic
873,Self-emp-not-inc,160724,Bachelors,Sales,Husband,Asian-Pac-Islander,Male,0,2415,>50K,"(45, 60]","(20, 40]",NCNon-US-Hispanic
887,Self-emp-inc,155781,Some-college,Craft-repair,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NCNon-US-Hispanic
892,Private,164170,Assoc-voc,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,<=50K,"(15, 30]","(20, 40]",NC-Asian-Pacific
922,Private,274198,5th-6th,Machine-op-inspct,Wife,White,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-Hispanic
933,Private,375871,HS-grad,Adm-clerical,Wife,White,Female,0,0,<=50K,"(15, 30]","(20, 40]",NC-Hispanic
955,Private,239683,10th,Craft-repair,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NCNon-US-Hispanic
962,Private,288273,Bachelors,Craft-repair,Husband,White,Male,0,0,<=50K,"(30, 45]","(60, 80]",NC-Hispanic
968,Private,164966,Bachelors,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,>50K,"(45, 60]","(20, 40]",NC-Asian-Pacific
1009,Private,109186,Some-college,Sales,Husband,White,Male,0,0,<=50K,"(15, 30]","(40, 60]",NCNon-US-Hispanic
1025,Private,169133,HS-grad,Other-service,Husband,White,Male,0,0,<=50K,"(45, 60]","(40, 60]",NCNon-US-Hispanic
1062,Private,377701,HS-grad,Other-service,Husband,White,Male,0,0,<=50K,"(45, 60]","(20, 40]",NC-Hispanic
1102,Self-emp-inc,218184,9th,Exec-managerial,Husband,White,Male,0,1651,<=50K,"(30, 45]","(20, 40]",NC-Hispanic
1110,Self-emp-inc,289430,Masters,Sales,Husband,White,Male,0,0,>50K,"(30, 45]","(40, 60]",NC-Hispanic
1115,Self-emp-inc,226355,Assoc-voc,Machine-op-inspct,Husband,White,Male,0,2415,>50K,"(45, 60]","(60, 80]",NCNon-US-Hispanic
1119,Private,288020,Bachelors,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,<=50K,"(45, 60]","(20, 40]",NCNon-US-Hispanic
1139,Private,328447,1st-4th,Craft-repair,Husband,White,Male,0,0,<=50K,"(30, 45]","(20, 40]",NC-Hispanic
1155,Private,117529,Some-college,Farming-fishing,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-Hispanic
1199,Private,75472,HS-grad,Craft-repair,Husband,White,Male,4386,0,<=50K,"(45, 60]","(20, 40]",NCNon-US-Hispanic
1224,Private,22245,Masters,Transport-moving,Husband,White,Male,0,0,>50K,"(30, 45]","(60, 80]",NCNon-US-Hispanic
1252,Private,283767,HS-grad,Adm-clerical,Husband,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NCNon-US-Hispanic
1326,Private,256522,HS-grad,Handlers-cleaners,Husband,White,Male,0,0,<=50K,"(45, 60]","(20, 40]",NCNon-US-Hispanic
1346,Self-emp-inc,134768,Bachelors,Exec-managerial,Husband,White,Male,0,0,>50K,"(60, 75]","(40, 60]",NCNon-US-Hispanic
