id,workclass,fnlwgt,education,occupation,relationship,race,sex,capital-gain,capital-loss,income,age-range,hours-range,nc
4,Private,338409,Bachelors,Prof-specialty,Wife,Black,Female,0,0,<=50K,"(15, 30]","(20, 40]",NCNon-US-Hispanic
5,Private,284582,Masters,Exec-managerial,Wife,White,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
8,Private,45781,Masters,Prof-specialty,Not-in-family,White,Female,14084,0,>50K,"(30, 45]","(40, 60]",NC-US
9,Private,159449,Bachelors,Exec-managerial,Husband,White,Male,5178,0,>50K,"(30, 45]","(20, 40]",NC-US
12,Private,122272,Bachelors,Adm-clerical,Own-child,White,Female,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
20,Private,193524,Doctorate,Prof-specialty,Husband,White,Male,0,0,>50K,"(30, 45]","(40, 60]",NC-US
32,Private,386940,Bachelors,Exec-managerial,Own-child,White,Male,0,1408,<=50K,"(30, 45]","(20, 40]",NC-US
42,Private,172987,Bachelors,Tech-support,Husband,White,Male,0,0,<=50K,"(15, 30]","(40, 60]",NC-US
47,Private,128354,Masters,Exec-managerial,Unmarried,White,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
60,Private,59496,Bachelors,Sales,Husband,White,Male,2407,0,<=50K,"(15, 30]","(20, 40]",NC-US
63,Private,116632,Doctorate,Prof-specialty,Husband,White,Male,0,0,>50K,"(30, 45]","(40, 60]",NC-US
71,Private,309974,Bachelors,Sales,Own-child,Black,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
81,Private,276515,Bachelors,Other-service,Husband,White,Male,0,0,<=50K,"(45, 60]","(20, 40]",NCNon-US-Hispanic
87,Private,202051,Masters,Prof-specialty,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
100,Private,124191,Masters,Exec-managerial,Husband,White,Male,0,0,>50K,"(75, 100]","(20, 40]",NC-US
101,Private,198282,Bachelors,Exec-managerial,Husband,White,Male,15024,0,>50K,"(30, 45]","(40, 60]",NC-US
110,Private,432376,Bachelors,Sales,Other-relative,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
121,Private,118853,Bachelors,Exec-managerial,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
122,Private,77143,Bachelors,Exec-managerial,Own-child,Black,Male,0,0,<=50K,"(15, 30]","(20, 40]",NCNon-US-Hispanic
125,Private,287828,Bachelors,Exec-managerial,Wife,White,Female,0,0,>50K,"(45, 60]","(20, 40]",NC-US
133,Private,254202,Bachelors,Sales,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
152,Private,163003,Bachelors,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-Asian-Pacific
156,Private,214542,Bachelors,Handlers-cleaners,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
159,Private,228456,Bachelors,Other-service,Other-relative,Black,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
173,Private,428030,Bachelors,Craft-repair,Not-in-family,White,Male,0,0,<=50K,"(15, 30]","(40, 60]",NC-US
179,Private,37274,Bachelors,Prof-specialty,Husband,White,Male,0,0,<=50K,"(30, 45]","(60, 80]",NC-US
188,Private,99928,Masters,Prof-specialty,Wife,White,Female,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
198,Private,138992,Masters,Prof-specialty,Other-relative,White,Male,7298,0,>50K,"(30, 45]","(20, 40]",NC-US
200,Private,397317,Masters,Prof-specialty,Not-in-family,White,Female,0,1876,<=50K,"(15, 30]","(20, 40]",NC-US
202,Private,259323,Bachelors,Exec-managerial,Husband,White,Male,0,0,>50K,"(45, 60]","(40, 60]",NC-US
206,Private,128757,Bachelors,Other-service,Husband,Black,Male,7298,0,>50K,"(30, 45]","(20, 40]",NC-US
215,Private,635913,Bachelors,Exec-managerial,Not-in-family,Black,Male,0,0,>50K,"(30, 45]","(40, 60]",NC-US
217,Private,182609,Bachelors,Sales,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NCNon-US-Hispanic
218,Private,109434,Bachelors,Prof-specialty,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
237,Private,180138,Bachelors,Exec-managerial,Husband,White,Male,0,0,>50K,"(30, 45]","(40, 60]",NCNon-US-Hispanic
240,Private,347890,Bachelors,Prof-specialty,Husband,White,Male,0,0,>50K,"(30, 45]","(20, 40]",NC-US
251,Private,390781,Bachelors,Adm-clerical,Wife,Black,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
260,Private,150042,Bachelors,Prof-specialty,Own-child,White,Female,0,0,<=50K,"(30, 45]","(20, 40]",NC-US
268,Private,185480,Bachelors,Prof-specialty,Not-in-family,White,Female,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
283,Private,173960,Bachelors,Prof-specialty,Not-in-family,White,Female,0,0,<=50K,"(45, 60]","(40, 60]",NC-US
288,Private,371987,Bachelors,Exec-managerial,Not-in-family,White,Female,0,0,<=50K,"(15, 30]","(20, 40]",NC-US
290,Private,200352,Bachelors,Prof-specialty,Husband,White,Male,0,0,<=50K,"(30, 45]","(40, 60]",NC-US
